x1	y1	e1	x2	y2	e2
15.4	1.85E+02	2.16E+00	13.9	1.12E+02	4.50E+00
15.5	1.82E+02	2.12E+00	14	1.25E+02	4.54E+00
15.6	1.81E+02	2.11E+00	14.1	1.16E+02	4.54E+00
15.6	1.83E+02	2.14E+00	14.1	1.10E+02	4.45E+00
15.7	1.80E+02	2.13E+00	14.2	1.11E+02	4.44E+00
15.8	1.80E+02	2.11E+00	14.3	1.18E+02	4.45E+00
15.8	1.81E+02	2.14E+00	14.3	1.12E+02	4.46E+00
15.9	1.82E+02	2.14E+00	14.4	1.17E+02	4.55E+00
16	1.77E+02	2.12E+00	14.5	1.09E+02	4.42E+00
16	1.83E+02	2.13E+00	14.5	1.16E+02	4.53E+00
16.1	1.79E+02	2.11E+00	14.6	1.17E+02	4.48E+00
16.2	1.81E+02	2.14E+00	14.7	1.22E+02	4.55E+00
16.2	1.78E+02	2.12E+00	14.7	1.14E+02	4.47E+00
16.3	1.81E+02	2.11E+00	14.8	1.15E+02	4.49E+00
16.3	1.83E+02	2.13E+00	14.8	1.09E+02	4.45E+00
16.4	1.78E+02	2.12E+00	14.9	1.12E+02	4.45E+00
16.5	1.81E+02	2.10E+00	15	1.21E+02	4.57E+00
16.5	1.84E+02	2.11E+00	15	1.09E+02	4.39E+00
16.6	1.77E+02	2.10E+00	15.1	1.15E+02	4.52E+00
16.7	1.79E+02	2.12E+00	15.2	1.16E+02	4.59E+00
16.7	1.77E+02	2.12E+00	15.2	1.17E+02	4.51E+00
16.8	1.79E+02	2.13E+00	15.3	1.21E+02	4.55E+00
16.9	1.79E+02	2.12E+00	15.4	1.12E+02	4.47E+00
16.9	1.79E+02	2.11E+00	15.4	1.19E+02	4.54E+00
17	1.77E+02	2.11E+00	15.5	1.18E+02	4.53E+00
17.1	1.77E+02	2.11E+00	15.6	1.23E+02	4.56E+00
17.1	1.76E+02	2.11E+00	15.6	1.08E+02	4.41E+00
17.2	1.83E+02	2.13E+00	15.7	1.11E+02	4.43E+00
17.3	1.76E+02	2.12E+00	15.8	1.12E+02	4.48E+00
17.3	1.77E+02	2.11E+00	15.8	1.10E+02	4.46E+00
17.4	1.76E+02	2.11E+00	15.9	1.15E+02	4.55E+00
17.5	1.77E+02	2.11E+00	16	1.06E+02	4.43E+00
17.5	1.78E+02	2.11E+00	16	1.14E+02	4.44E+00
17.6	1.76E+02	2.12E+00	16.1	1.12E+02	4.49E+00
17.7	1.75E+02	2.09E+00	16.2	1.16E+02	4.52E+00
17.7	1.80E+02	2.10E+00	16.2	1.10E+02	4.38E+00
17.8	1.76E+02	2.13E+00	16.3	1.06E+02	4.41E+00
17.9	1.75E+02	2.11E+00	16.4	1.06E+02	4.40E+00
17.9	1.76E+02	2.13E+00	16.4	1.13E+02	4.46E+00
18	1.78E+02	2.10E+00	16.5	1.18E+02	4.54E+00
18.1	1.78E+02	2.12E+00	16.6	1.24E+02	4.63E+00
18.1	1.79E+02	2.12E+00	16.6	1.13E+02	4.46E+00
18.2	1.74E+02	2.11E+00	16.7	1.22E+02	4.55E+00
18.3	1.75E+02	2.11E+00	16.8	1.20E+02	4.52E+00
18.3	1.78E+02	2.13E+00	16.8	1.13E+02	4.51E+00
18.4	1.77E+02	2.11E+00	16.9	1.15E+02	4.49E+00
18.5	1.79E+02	2.12E+00	17	1.09E+02	4.47E+00
18.5	1.81E+02	2.10E+00	17	1.11E+02	4.43E+00
18.6	1.78E+02	2.11E+00	17.1	1.10E+02	4.43E+00
18.7	1.77E+02	2.11E+00	17.2	1.16E+02	4.51E+00
18.7	1.78E+02	2.12E+00	17.2	1.15E+02	4.48E+00
18.8	1.78E+02	2.10E+00	17.3	1.07E+02	4.48E+00
18.9	1.70E+02	2.11E+00	17.4	1.21E+02	4.62E+00
18.9	1.75E+02	2.13E+00	17.4	1.12E+02	4.50E+00
19	1.78E+02	2.11E+00	17.5	1.11E+02	4.49E+00
19	1.79E+02	2.12E+00	17.5	1.24E+02	4.61E+00
19.1	1.78E+02	2.13E+00	17.6	1.12E+02	4.49E+00
19.2	1.81E+02	2.13E+00	17.7	1.07E+02	4.44E+00
19.2	1.73E+02	2.14E+00	17.7	1.05E+02	4.37E+00
19.3	1.79E+02	2.14E+00	17.8	1.12E+02	4.47E+00
19.4	1.76E+02	2.14E+00	17.9	1.14E+02	4.53E+00
19.4	1.80E+02	2.14E+00	17.9	1.07E+02	4.47E+00
19.5	1.78E+02	2.13E+00	18	1.16E+02	4.55E+00
19.6	1.75E+02	2.12E+00	18.1	1.13E+02	4.49E+00
19.6	1.78E+02	2.14E+00	18.1	1.12E+02	4.49E+00
19.7	1.82E+02	2.15E+00	18.2	1.19E+02	4.53E+00
19.8	1.80E+02	2.15E+00	18.3	1.06E+02	4.45E+00
19.8	1.80E+02	2.14E+00	18.3	1.19E+02	4.58E+00
19.9	1.80E+02	2.14E+00	18.4	1.10E+02	4.45E+00
20	1.82E+02	2.14E+00	18.5	1.19E+02	4.55E+00
20	1.80E+02	2.13E+00	18.5	1.13E+02	4.50E+00
20.1	1.81E+02	2.14E+00	18.6	1.10E+02	4.52E+00
20.2	1.82E+02	2.17E+00	18.7	1.06E+02	4.53E+00
20.2	1.80E+02	2.15E+00	18.7	1.11E+02	4.43E+00
20.3	1.82E+02	2.15E+00	18.8	1.15E+02	4.52E+00
20.4	1.77E+02	2.14E+00	18.9	1.10E+02	4.47E+00
20.4	1.81E+02	2.15E+00	18.9	1.16E+02	4.54E+00
20.5	1.79E+02	2.15E+00	19	1.12E+02	4.51E+00
20.6	1.86E+02	2.17E+00	19.1	1.16E+02	4.54E+00
20.6	1.82E+02	2.17E+00	19.1	1.12E+02	4.49E+00
20.7	1.83E+02	2.15E+00	19.2	1.13E+02	4.50E+00
20.8	1.82E+02	2.15E+00	19.3	1.13E+02	4.53E+00
20.8	1.80E+02	2.15E+00	19.3	1.13E+02	4.55E+00
20.9	1.83E+02	2.15E+00	19.4	1.13E+02	4.51E+00
21	1.80E+02	2.16E+00	19.5	1.20E+02	4.54E+00
21	1.82E+02	2.15E+00	19.5	1.13E+02	4.49E+00
21.1	1.81E+02	2.16E+00	19.6	1.17E+02	4.54E+00
21.2	1.82E+02	2.16E+00	19.7	1.19E+02	4.54E+00
21.2	1.82E+02	2.14E+00	19.7	1.20E+02	4.55E+00
21.3	1.84E+02	2.14E+00	19.8	1.12E+02	4.49E+00
21.4	1.80E+02	2.15E+00	19.9	1.13E+02	4.50E+00
21.4	1.82E+02	2.15E+00	19.9	1.19E+02	4.54E+00
21.5	1.82E+02	2.15E+00	20	1.12E+02	4.45E+00
21.6	1.83E+02	2.15E+00	20.1	1.10E+02	4.48E+00
21.6	1.74E+02	2.13E+00	20.1	1.14E+02	4.38E+00
21.7	1.81E+02	2.14E+00	20.2	1.07E+02	4.25E+00
21.7	1.81E+02	2.14E+00	20.2	1.15E+02	4.25E+00
21.8	1.81E+02	2.14E+00	20.3	1.16E+02	4.17E+00
21.9	1.80E+02	2.16E+00	20.4	1.21E+02	4.22E+00
21.9	1.80E+02	2.14E+00	20.4	1.16E+02	4.16E+00
22	1.78E+02	2.14E+00	20.5	1.14E+02	4.08E+00
22.1	1.79E+02	2.13E+00	20.6	1.18E+02	4.10E+00
22.1	1.83E+02	2.14E+00	20.6	1.12E+02	4.02E+00
22.2	1.80E+02	2.15E+00	20.7	1.20E+02	3.98E+00
22.3	1.84E+02	2.14E+00	20.8	1.18E+02	3.97E+00
22.3	1.79E+02	2.13E+00	20.8	1.22E+02	3.93E+00
22.4	1.84E+02	2.14E+00	20.9	1.19E+02	3.90E+00
22.5	1.76E+02	2.13E+00	21	1.17E+02	3.83E+00
22.5	1.75E+02	2.13E+00	21	1.19E+02	3.83E+00
22.6	1.78E+02	2.13E+00	21.1	1.16E+02	3.74E+00
22.7	1.83E+02	2.13E+00	21.2	1.17E+02	3.74E+00
22.7	1.81E+02	2.12E+00	21.2	1.25E+02	3.76E+00
22.8	1.80E+02	2.14E+00	21.3	1.17E+02	3.74E+00
22.9	1.74E+02	2.11E+00	21.4	1.19E+02	3.69E+00
22.9	1.75E+02	2.11E+00	21.4	1.19E+02	3.61E+00
23	1.78E+02	2.12E+00	21.5	1.22E+02	3.66E+00
23.1	1.79E+02	2.14E+00	21.6	1.23E+02	3.65E+00
23.1	1.80E+02	2.12E+00	21.6	1.16E+02	3.60E+00
23.2	1.76E+02	2.11E+00	21.7	1.29E+02	3.60E+00
23.3	1.70E+02	2.10E+00	21.8	1.20E+02	3.51E+00
23.3	1.73E+02	2.10E+00	21.8	1.30E+02	3.60E+00
